天津卫视,rtp://225.1.1.111:5002
天津-1新闻,rtp://225.1.1.130:5002
天津-2文艺,rtp://225.1.1.131:5002
天津-3影视,rtp://225.1.1.149:5002
天津-4都市,rtp://225.1.1.128:5002
天津-5体育,rtp://225.1.1.122:5002
天津-6教育,rtp://225.1.1.129:5002
河东有线 SD,rtp://225.1.2.2:5002
河西有线 SD,rtp://225.1.2.4:5002
静海区 SD,rtp://225.1.1.110:5002
宝坻区 SD,rtp://225.1.1.83:5002
蓟州区,rtp://225.1.1.82:5002
滨海-1 SD,rtp://225.1.2.7:5002
滨海-2 SD,rtp://225.1.2.8:5002
大港油田,rtp://225.1.2.14:5002
CCTV-1综合,rtp://225.1.1.120:5002
CCTV-2财经,rtp://225.1.1.133:5002
CCTV-3综艺,rtp://225.1.1.158:5002
CCTV-4中文国际,rtp://225.1.1.150:5002
CCTV-5体育,rtp://225.1.1.160:5002
CCTV-5+体育赛事,rtp://225.1.1.121:5002
CCTV-6电影,rtp://225.1.1.195:5002
CCTV-7国防军事,rtp://225.1.1.138:5002
CCTV-8电视剧,rtp://225.1.1.196:5002
CCTV-9记录,rtp://225.1.1.119:5002
CCTV-10科教,rtp://225.1.1.140:5002
CCTV-11戏曲,rtp://225.1.2.192:5002
CCTV-12社会与法,rtp://225.1.1.142:5002
CCTV-13新闻,rtp://225.1.2.193:5002
CCTV-14少儿,rtp://225.1.1.144:5002
CCTV-15音乐,rtp://225.1.2.194:5002
CCTV-16奥林匹克,rtp://225.1.2.237:5002
CCTV-17农业农村,rtp://225.1.2.52:5002
CGTN SD,rtp://225.1.1.27:5002
CGTN Documentary SD,rtp://225.1.1.55:5002
CCTV兵器科技,rtp://225.1.2.166:5002
CCTV电视指南,rtp://225.1.2.167:5002
CCTV风云足球,rtp://225.1.2.168:5002
CCTV高尔夫网球,rtp://225.1.2.169:5002
CCTV央视台球,rtp://225.1.2.170:5002
CCTV世界地理,rtp://225.1.2.171:5002
CCTV女性时尚,rtp://225.1.2.172:5002
CCTV怀旧剧场,rtp://225.1.2.173:5002
CCTV风云剧场,rtp://225.1.2.174:5002
CCTV第一剧场,rtp://225.1.2.175:5002
