CCTV-1综合频道,rtp://239.33.5.2:22580
CCTV-2财经频道,rtp://239.33.5.3:22590
CCTV-3综艺频道,rtp://239.33.5.4:22600
CCTV-4国际频道,rtp://239.33.5.40:22960
CCTV-5体育频道,rtp://239.33.5.5:22610
CCTV-6电影频道,rtp://239.33.5.7:22630
CCTV-7国防军事频道,rtp://239.33.5.73:23290
CCTV-8电视剧频道,rtp://239.33.5.9:22650
CCTV-9纪录频道,rtp://239.33.5.10:22660
CCTV-10科教频道,rtp://239.33.5.11:22670
CCTV-11戏曲频道,rtp://239.33.4.11:20110
CCTV-12社会与法频道,rtp://239.33.5.12:22680
CCTV-13新闻频道,rtp://239.33.4.13:20130
CCTV-14少儿频道,rtp://239.33.5.13:22690
CCTV-15音乐频道,rtp://239.33.4.15:20150
CCTV-16奥林匹克频道,rtp://239.33.4.211:22110
CCTV-17农业农村频道,rtp://239.33.5.8:22640
CCTV 5+ 体育赛事频道,rtp://239.33.5.6:22620
CGTN-英语新闻频道,rtp://239.33.5.43:22990
CGTN-纪录频道（国际版）,rtp://239.33.5.44:23000
CGTN-俄语国际频道,rtp://239.33.4.228:22280
CGTN-西班牙语国际频道,rtp://239.33.4.225:22250
CGTN-阿拉伯语国际频道,rtp://239.33.4.227:22270
CGTN-法语国际频道,rtp://239.33.4.226:22260
辽宁卫视,rtp://239.33.5.1:22570
辽宁都市频道,rtp://239.33.4.236:22360
辽宁影视剧频道,rtp://239.33.4.238:22380
辽宁体育频道,rtp://239.33.4.237:22370
辽宁生活频道,rtp://239.33.5.201:24570
辽宁教育青少频道,rtp://239.33.4.233:22330
辽宁北方频道,rtp://239.33.5.202:24580
辽宁宜佳购物频道,rtp://239.33.4.239:22390
辽宁公共频道,rtp://239.33.4.122:21220
辽宁经济频道,rtp://239.33.4.121:21210
移动电视频道,rtp://239.33.4.235:22350
家有购物频道,rtp://239.33.4.120:21200
央广购物频道,rtp://239.33.4.130:21300
聚鲨环球精选频道,rtp://239.33.4.232:22320
沈阳新闻综合频道,rtp://239.33.4.123:21230
优购物频道,rtp://239.33.4.242:22420
CCTV中视购物频道,rtp://239.33.4.231:22310
北京卫视,rtp://239.33.5.21:22770
天津卫视,rtp://239.33.5.22:22780
上海东方卫视,rtp://239.33.5.24:22800
浙江卫视,rtp://239.33.5.51:23070
江苏卫视,rtp://239.33.5.52:23080
安徽卫视,rtp://239.33.5.16:22720
湖南卫视,rtp://239.33.5.15:22710
贵州卫视,rtp://239.33.5.71:23270
山东卫视,rtp://239.33.5.18:22740
山西卫视,rtp://239.33.4.46:20460
广东卫视,rtp://239.33.5.19:22750
广西卫视,rtp://239.33.4.215:22150
湖北卫视,rtp://239.33.5.17:22730
江西卫视,rtp://239.33.4.216:22160
河北卫视,rtp://239.33.4.217:22170
河南卫视,rtp://239.33.4.218:22180
四川卫视,rtp://239.33.5.42:22980
重庆卫视,rtp://239.33.5.41:22970
福建东南卫视,rtp://239.33.5.55:23110
海南卫视,rtp://239.33.5.74:23300
青海卫视,rtp://239.33.4.62:20620
云南卫视,rtp://239.33.4.219:22190
陕西卫视,rtp://239.33.4.59:20590
内蒙古卫视,rtp://239.33.4.60:20600
宁夏卫视,rtp://239.33.4.61:20610
吉林卫视,rtp://239.33.5.72:23280
新疆卫视,rtp://239.33.4.63:20630
甘肃卫视,rtp://239.33.4.64:20640
西藏卫视,rtp://239.33.4.65:20650
黑龙江卫视,rtp://239.33.5.14:22700
深圳卫视,rtp://239.33.5.20:22760
厦门卫视,rtp://239.33.4.56:20560
CETV1,rtp://239.33.5.45:23010
CETV4,rtp://239.33.4.220:22200
山东教育卫视,rtp://239.33.5.79:23350
兵团卫视,rtp://239.33.4.68:20680
农林卫视,rtp://239.33.4.69:20690
延边卫视,rtp://239.33.5.80:23360
金鹰卡通频道,rtp://239.33.4.234:22340
