CCTV1-综合,rtp://239.29.1.1:5001
CCTV2-财经,rtp://239.29.1.8:5001
CCTV3-综艺,rtp://239.29.0.45:5000
CCTV4-国际,rtp://239.29.1.9:5001
CCTV5-体育,rtp://239.29.0.43:5000
CCTV6-电影,rtp://239.29.0.44:5000
CCTV7-军农,rtp://239.29.1.11:5001
CCTV8-电视剧,rtp://239.29.0.46:5000
CCTV9-纪录,rtp://239.29.1.12:5001
CCTV10-科教,rtp://239.29.1.2:5001
CCTV11-戏曲,rtp://239.29.1.3:5001
CCTV12-社会与法,rtp://239.29.1.4:5001
CCTV13-新闻,rtp://239.29.1.5:5001
CCTV14-少儿,rtp://239.29.1.6:5001
CCTV15-音乐,rtp://239.29.1.7:5001
内蒙古卫视-汉语,rtp://239.29.0.1:5000
湖南卫视,rtp://239.29.1.74:5001
浙江卫视,rtp://239.29.1.70:5001
江苏卫视,rtp://239.29.1.66:5001
安徽卫视,rtp://239.29.1.51:5001
北京卫视,rtp://239.29.1.40:5001
天津卫视,rtp://239.29.1.48:5001
辽宁卫视,rtp://239.29.1.81:5001
山东卫视,rtp://239.29.1.54:5001
云南卫视,rtp://239.29.1.31:5001
河南卫视,rtp://239.29.1.69:5001
黑龙江卫视,rtp://239.29.1.91:5001
四川卫视,rtp://239.29.1.45:5001
江西卫视,rtp://239.29.1.67:5001
贵州卫视,rtp://239.29.1.80:5001
深圳卫视,rtp://239.29.1.71:5001
湖北卫视,rtp://239.29.1.73:5001
上海卫视,rtp://239.29.1.28:5001
重庆卫视,rtp://239.29.1.83:5001
东南卫视,rtp://239.29.1.27:5001
河北卫视,rtp://239.29.1.68:5001
广东卫视,rtp://239.29.1.56:5001
广西卫视,rtp://239.29.1.57:5001
吉林卫视,rtp://239.29.1.43:5001
陕西卫视,rtp://239.29.1.86:5001
山西卫视,rtp://239.29.1.55:5001
青海卫视,rtp://239.29.1.87:5001
宁夏卫视,rtp://239.29.1.50:5001
西藏卫视,rtp://239.29.1.79:5001
新疆卫视,rtp://239.29.1.59:5001
甘肃卫视,rtp://239.29.1.95:5001
经典电影,rtp://239.29.1.78:5001
动画频道,rtp://239.29.1.38:5001
野外,rtp://239.29.1.25:5001
早教频道,rtp://239.29.1.61:5001
星影,rtp://239.29.1.62:5001
鄂尔多斯新闻综合,rtp://239.29.0.30:5000
鄂尔多斯经济服务,rtp://239.29.0.31:5000
鄂尔多斯城市生活,rtp://239.29.0.32:5000
鄂尔多斯蒙古语综合,rtp://239.29.0.33:5000
喜剧影院,rtp://239.29.1.44:5001
